participant.id_in_session,participant.code,participant.label,participant._current_app_name,participant.time_started,player.id_in_group,player.contribution,player.remaining_points,player.pointsLost,player.flagPointsLost,player.pointsWonNorms,player.automatic_decision,player.num_automatic_decisions,player.empiricalExpectations1,player.empiricalExpectations2,player.empiricalExpectations3,player.empiricalExpectations4,player.personalNormativeBeliefs1,player.personalNormativeBeliefs2,player.personalNormativeBeliefs3,player.personalNormativeBeliefs4,player.normativeExpectations1,player.normativeExpectations2,player.normativeExpectations3,player.normativeExpectations4,player.question_1,player.question_2,player.question_3,player.payoff,group.id_in_subsession,group.group_effort,group.flagGroupSuccess,subsession.round_number,session.code,team
4,mmmm8woz,0,dospert,2021-05-20,4,0.0,28,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,20,0,15,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,5.0,38,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,25,1,15,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,0.0,28,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,25,1,15,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,20.0,28,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,25,1,15,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,25,1,15,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,4.0,15,4,1,4,0,0,,,,,,,,,,,,,,,,15.0,1,7,1,16,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,0.0,24,8,1,6,0,0,,,,,,,,,,,,,,,,24.0,1,7,1,16,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,3.0,12,3,1,6,0,0,,,,,,,,,,,,,,,,12.0,1,7,1,16,every_round,0
4,mmmm8woz,0,dospert,2021-05-20,4,0.0,21,7,1,6,0,0,,,,,,,,,,,,,,,,21.0,1,7,1,16,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,0.0,38,0,0,6,0,0,,,,,,,,,,,,,,,,38.0,2,28,1,16,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,0.0,28,0,0,6,0,0,,,,,,,,,,,,,,,,28.0,2,28,1,16,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,28.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,28,1,16,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,0.0,0,0,0,2,0,0,,,,,,,,,,,,,,,,0.0,2,28,1,16,every_round,2
1,0hyxci3d,0,dospert,2021-05-20,1,15.0,85,0,0,0,0,0,15.0,10.0,10.0,5.0,15.0,10.0,5.0,5.0,15.0,10.0,5.0,5.0,1.0,2.0,2.0,0.0,1,78,0,1,last_round,1
2,7jk3cl6n,0,dospert,2021-05-20,2,25.0,75,0,0,0,0,0,15.0,30.0,25.0,25.0,20.0,25.0,25.0,30.0,20.0,25.0,25.0,30.0,1.0,2.0,3.0,0.0,1,78,0,1,last_round,1
3,lfro3ok1,0,dospert,2021-05-20,3,13.0,87,0,0,0,0,0,15.0,20.0,15.0,20.0,13.0,12.0,13.0,12.0,15.0,10.0,15.0,10.0,1.0,2.0,2.0,0.0,1,78,0,1,last_round,1
4,9ri4btle,0,dospert,2021-05-20,4,25.0,75,0,0,0,0,0,20.0,20.0,20.0,18.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,1.0,2.0,3.0,0.0,1,78,0,1,last_round,1
5,l8a9ilcl,0,dospert,2021-05-20,1,15.0,85,0,0,0,0,0,15.0,30.0,20.0,10.0,20.0,20.0,15.0,15.0,50.0,0.0,20.0,10.0,1.0,2.0,3.0,0.0,2,135,0,1,last_round,3
6,9spdl7h3,0,dospert,2021-05-20,2,50.0,50,0,0,0,0,0,10.0,13.0,8.0,12.0,20.0,30.0,15.0,12.0,15.0,10.0,20.0,18.0,1.0,2.0,3.0,0.0,2,135,0,1,last_round,3
7,cwaft3o3,0,dospert,2021-05-20,3,30.0,70,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,50.0,0.0,10.0,0.0,1.0,2.0,3.0,0.0,2,135,0,1,last_round,3
8,oas1e204,0,dospert,2021-05-20,4,40.0,60,0,0,0,0,0,40.0,5.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2,135,0,1,last_round,3
1,0hyxci3d,0,dospert,2021-05-20,1,25.0,60,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,70,0,2,last_round,1
